paper,study,outcome,outcome_expectation,time_1,effect,label,effect_size_value,effect_size_lower,effect_size_upper,effect_size_var,condition_1,condition_2,time_2,max_time,cluster,group_1,group_2,yi,yi_lower,yi_upper
14,1,4,decrease,2,13,Doebel et al. (2015) - 13,-0.119639034863037,-0.433130249851499,0.193852180125426,0.0255831824476474,1,2,2,2,14 - 1,1 - 2,2 - 2,-0.119639034863037,-0.433130249851499,0.193852180125426
14,1,4,decrease,2,14,Doebel et al. (2015) - 14,-0.106999510062871,-0.417471572375476,0.203472552249735,0.0250927853130611,1,3,2,2,14 - 1,1 - 2,3 - 2,-0.106999510062871,-0.417471572375476,0.203472552249735
14,1,4,decrease,2,15,Doebel et al. (2015) - 15,-0.0574020633776653,-0.363273622769466,0.248469496014136,0.0243546567103033,1,4,2,2,14 - 1,1 - 2,4 - 2,-0.0574020633776653,-0.363273622769466,0.248469496014136
14,1,4,decrease,2,16,Doebel et al. (2015) - 16,0.0751803894860004,-0.236638678686491,0.386999457658491,0.0253109914265309,1,5,2,2,14 - 1,1 - 2,5 - 2,0.0751803894860004,-0.236638678686491,0.386999457658491
14,1,5,decrease,2,17,Doebel et al. (2015) - 17,-0.333951584666214,-0.725700228680974,0.0577970593485453,0.0399501874810342,1,2,2,2,14 - 1,1 - 2,2 - 2,-0.333951584666214,-0.725700228680974,0.0577970593485453
14,1,5,decrease,2,18,Doebel et al. (2015) - 18,-0.326201529075325,-0.714909361560367,0.0625063034097178,0.0393323958651517,1,3,2,2,14 - 1,1 - 2,3 - 2,-0.326201529075325,-0.714909361560367,0.0625063034097178
14,1,5,decrease,2,19,Doebel et al. (2015) - 19,-0.198960802432638,-0.582084934718486,0.18416332985321,0.0382105100148545,1,4,2,2,14 - 1,1 - 2,4 - 2,-0.198960802432638,-0.582084934718486,0.18416332985321
14,1,5,decrease,2,20,Doebel et al. (2015) - 20,-0.112134339092467,-0.499399555424892,0.275130877239959,0.0390409880155635,1,5,2,2,14 - 1,1 - 2,5 - 2,-0.112134339092467,-0.499399555424892,0.275130877239959
14,1,6,decrease,2,21,Doebel et al. (2015) - 21,-0.399997097868924,-0.792526760544142,-0.0074674351937063,0.0401096414856477,1,2,2,2,14 - 1,1 - 2,2 - 2,-0.399997097868924,-0.792526760544142,-0.0074674351937063
14,1,6,decrease,2,22,Doebel et al. (2015) - 22,-0.522408504167573,-0.913663103747875,-0.131153904587272,0.0398494865721564,1,3,2,2,14 - 1,1 - 2,3 - 2,-0.522408504167573,-0.913663103747875,-0.131153904587272
14,1,6,decrease,2,23,Doebel et al. (2015) - 23,-0.307007977943684,-0.691144947248807,0.07712899136144,0.0384128056747624,1,4,2,2,14 - 1,1 - 2,4 - 2,-0.307007977943684,-0.691144947248807,0.07712899136144
14,1,6,decrease,2,24,Doebel et al. (2015) - 24,-0.161434718328871,-0.549517333053515,0.22664789639577201,0.0392059691074086,1,5,2,2,14 - 1,1 - 2,5 - 2,-0.161434718328871,-0.549517333053515,0.22664789639577201
23,1,1,decrease,3,3,Loy et al. (2016) - 3,0.666035615970165,0.256615250532777,1.07545598140755,0.0436357757453707,1,1,1,3,23 - 1,1 - 3,1 - 1,0.666035615970165,0.256615250532777,1.07545598140755
23,1,1,decrease,3,4,Loy et al. (2016) - 4,1.23314555148822,0.732693457238104,1.73359764573834,0.0651971842806517,2,2,1,3,23 - 1,2 - 3,2 - 1,1.23314555148822,0.732693457238104,1.73359764573834
25,1,1,decrease,2,1,Novotná (2019) - 1,-0.345001929641946,-0.87005171185552,0.180047852571629,0.0717636936044804,1,2,2,2,25 - 1,1 - 2,2 - 2,-0.345001929641946,-0.87005171185552,0.180047852571629
25,1,1,decrease,2,2,Novotná (2019) - 2,-0.30349536967723,-0.831658489558105,0.224667750203644,0.0726172775039389,1,3,2,2,25 - 1,1 - 2,3 - 2,-0.30349536967723,-0.831658489558105,0.224667750203644
25,1,2,decrease,2,3,Novotná (2019) - 3,-0.416096892454672,-0.942880176848625,0.11068639193928,0.0722383452926713,1,2,2,2,25 - 1,1 - 2,2 - 2,-0.416096892454672,-0.942880176848625,0.11068639193928
25,1,2,decrease,2,4,Novotná (2019) - 4,-0.54707823715655,-1.08192631929203,-0.0122301550210696,0.0744671449874639,1,3,2,2,25 - 1,1 - 2,3 - 2,-0.54707823715655,-1.08192631929203,-0.0122301550210696
25,1,3,decrease,2,5,Novotná (2019) - 5,0.0869791674147582,-0.434481639520333,0.60843997434985,0.0707859659212128,1,2,2,2,25 - 1,1 - 2,2 - 2,0.0869791674147582,-0.434481639520333,0.60843997434985
25,1,3,decrease,2,6,Novotná (2019) - 6,-0.147316681592103,-0.673188720971559,0.378555357787352,0.0719886414794728,1,3,2,2,25 - 1,1 - 2,3 - 2,-0.147316681592103,-0.673188720971559,0.378555357787352
25,1,4,decrease,2,7,Novotná (2019) - 7,-0.110462278135335,-0.632072871076532,0.411148314805861,0.0708266373188153,1,2,2,2,25 - 1,1 - 2,2 - 2,-0.110462278135335,-0.632072871076532,0.411148314805861
25,1,4,decrease,2,8,Novotná (2019) - 8,-0.212149739166871,-0.738781246446332,0.31448176811259,0.0721967245790555,1,3,2,2,25 - 1,1 - 2,3 - 2,-0.212149739166871,-0.738781246446332,0.31448176811259
25,1,5,decrease,2,9,Novotná (2019) - 9,-0.175048065125269,-0.697253944502046,0.347157814251507,0.0709883909171772,1,2,2,2,25 - 1,1 - 2,2 - 2,-0.175048065125269,-0.697253944502046,0.347157814251507
25,1,5,decrease,2,10,Novotná (2019) - 10,-0.247211720112949,-0.774367450582535,0.279944010356638,0.0723405292463111,1,3,2,2,25 - 1,1 - 2,3 - 2,-0.247211720112949,-0.774367450582535,0.279944010356638
25,1,6,decrease,2,11,Novotná (2019) - 11,-0.173817067555759,-0.696009090861499,0.348374955749981,0.0709846237932261,1,2,2,2,25 - 1,1 - 2,2 - 2,-0.173817067555759,-0.696009090861499,0.348374955749981
25,1,6,decrease,2,12,Novotná (2019) - 12,0.130773669349238,-0.394948321910174,0.656495660608649,0.0719475660144706,1,3,2,2,25 - 1,1 - 2,3 - 2,0.130773669349238,-0.394948321910174,0.656495660608649
25,1,7,decrease,2,13,Novotná (2019) - 13,-0.297806455261741,-0.821881818071881,0.226268907548399,0.0714975738969268,1,2,2,2,25 - 1,1 - 2,2 - 2,-0.297806455261741,-0.821881818071881,0.226268907548399
25,1,7,decrease,2,14,Novotná (2019) - 14,-0.0962272263690572,-0.621693342172791,0.429238889434676,0.0718775475010743,1,3,2,2,25 - 1,1 - 2,3 - 2,-0.0962272263690572,-0.621693342172791,0.429238889434676
25,1,8,decrease,2,15,Novotná (2019) - 15,0.381020647107986,-0.144867614872823,0.906908909088795,0.0719930830962867,1,2,2,2,25 - 1,1 - 2,2 - 2,0.381020647107986,-0.144867614872823,0.906908909088795
25,1,8,decrease,2,16,Novotná (2019) - 16,0.646226466646875,0.107598121966172,1.18485481132758,0.075523520421612,1,3,2,2,25 - 1,1 - 2,3 - 2,0.646226466646875,0.107598121966172,1.18485481132758
26,1,1,decrease,1,1,Palomo-Vélez et al. (2018) - 1,-0.492300756173319,-0.813031626974512,-0.171569885372126,0.0267784444104243,1,2,1,1,26 - 1,1 - 1,2 - 1,-0.492300756173319,-0.813031626974512,-0.171569885372126
26,1,1,decrease,1,2,Palomo-Vélez et al. (2018) - 2,-0.0165708591274957,-0.33255968292734,0.299417964672349,0.0259924527183574,1,3,1,1,26 - 1,1 - 1,3 - 1,-0.0165708591274957,-0.33255968292734,0.299417964672349
26,1,1,decrease,1,3,Palomo-Vélez et al. (2018) - 3,-0.313398006048861,-0.634356421996883,0.00756040989916046,0.0268164542628754,1,4,1,1,26 - 1,1 - 1,4 - 1,-0.313398006048861,-0.634356421996883,0.00756040989916046
26,2,1,decrease,1,4,Palomo-Vélez et al. (2018) - 4,-0.200933770941575,-0.517114247430642,0.115246705547492,0.0260239920246729,1,2,1,1,26 - 2,1 - 1,2 - 1,-0.200933770941575,-0.517114247430642,0.115246705547492
26,2,1,decrease,1,5,Palomo-Vélez et al. (2018) - 5,-0.0841533803245807,-0.400837733470878,0.232530972821716,0.0261070036693943,1,3,1,1,26 - 2,1 - 1,3 - 1,-0.0841533803245807,-0.400837733470878,0.232530972821716
26,2,1,decrease,1,6,Palomo-Vélez et al. (2018) - 6,-0.173603546304648,-0.483172065896196,0.135964973286899,0.0249469466666796,1,4,1,1,26 - 2,1 - 1,4 - 1,-0.173603546304648,-0.483172065896196,0.135964973286899
26,2,1,decrease,1,7,Palomo-Vélez et al. (2018) - 7,-0.0154522812318202,-0.326481248973247,0.295576686509607,0.0251828857967082,1,5,1,1,26 - 2,1 - 1,5 - 1,-0.0154522812318202,-0.326481248973247,0.295576686509607
26,3,1,decrease,1,8,Palomo-Vélez et al. (2018) - 8,-0.22243808232607,-0.460858907821872,0.0159827431697321,0.0147976309739091,1,2,1,1,26 - 3,1 - 1,2 - 1,-0.22243808232607,-0.460858907821872,0.0159827431697321
26,3,1,decrease,1,9,Palomo-Vélez et al. (2018) - 9,-0.250731671676273,-0.490226391101758,-0.0112369522507886,0.0149312340207066,1,3,1,1,26 - 3,1 - 1,3 - 1,-0.250731671676273,-0.490226391101758,-0.0112369522507886
31,2,1,increase,1,1,Sparkman & Walton (2017) - 1,0.161164757346683,-0.120243070157549,0.442572584850914,0.0206146594502195,1,2,1,1,31 - 2,1 - 1,2 - 1,-0.161164757346683,-0.442572584850914,0.120243070157549
31,2,1,increase,1,2,Sparkman & Walton (2017) - 2,-0.168926582529839,-0.450379323002209,0.112526157942532,0.0206212402154799,1,3,1,1,31 - 2,1 - 1,3 - 1,0.168926582529839,-0.112526157942532,0.450379323002209
31,4,1,decrease,1,3,Sparkman & Walton (2017) - 3,-0.363420626985364,-0.712662192863266,-0.0141790611074619,0.0317508730484868,1,2,1,1,31 - 4,1 - 1,2 - 1,-0.363420626985364,-0.712662192863266,-0.0141790611074619
31,4,1,decrease,1,4,Sparkman & Walton (2017) - 4,0.143400236523102,-0.2474778224937,0.534278295539903,0.0397728217722076,1,3,1,1,31 - 4,1 - 1,3 - 1,0.143400236523102,-0.2474778224937,0.534278295539903
33,1,1,decrease,1,1,Tian et al. (2016) - 1,-0.171141907126543,-0.527415402055365,0.185131587802279,0.0330423438369338,1,2,1,1,33 - 1,1 - 1,2 - 1,-0.171141907126543,-0.527415402055365,0.185131587802279
33,1,1,decrease,1,2,Tian et al. (2016) - 2,-0.289738603076676,-0.624565219722719,0.0450880135693661,0.0291839294516708,3,4,1,1,33 - 1,3 - 1,4 - 1,-0.289738603076676,-0.624565219722719,0.0450880135693661
33,2,1,decrease,1,3,Tian et al. (2016) - 3,0.0156639697849156,-0.303869603834638,0.33519754340447,0.0265788882390346,1,2,1,1,33 - 2,1 - 1,2 - 1,0.0156639697849156,-0.303869603834638,0.33519754340447
33,2,1,decrease,1,4,Tian et al. (2016) - 4,0.0599300931874926,-0.316479500922664,0.43633968729765,0.0368829106731312,3,4,1,1,33 - 2,3 - 1,4 - 1,0.0599300931874926,-0.316479500922664,0.43633968729765
